順位,店舗コード,店舗短縮名,規格容量,売上金額,構成比,売上点数,平均単価,売上客数,客単価,粗利,特売金額,特売点数,組合せ売上,組合せ点数,ＰＯＳ売価,本部指示売価,金額ＰＩ,数量ＰＩ
-,000824,富ヶ谷店,-,6303528,100.00,14236,442.79,11232,561.21,2673355,300792,531,0,0,-,-,89.62,20.24
順位,店舗コード,店舗短縮名,規格容量,売上金額,構成比,売上点数,平均単価,売上客数,客単価,粗利,特売金額,特売点数,組合せ売上,組合せ点数,ＰＯＳ売価,本部指示売価,金額ＰＩ,数量ＰＩ

12,4976446022196,仙台熟成塩牛タン　　　　　　　　　　　　　　　　,２５０ｇ　　　　　　,94720,1.50,64,1480.00,50,1894.40,33920,0,0,0,0,1598,1598,1.35,0.09
13,0214150000000,肉王マンドゥ　　　　　　　　　　　　　　　　　　,定貫　　　　　　　　,94540,1.50,163,580.00,158,598.35,94377,0,0,0,0,1,1,1.34,0.23
14,4970320126185,バラベーコンスライス８５０ｇ　　　　　　　　　　,８５０ｇ　　　　　　,93810,1.49,60,1563.50,40,2345.25,26010,0,0,0,0,1717,1717,1.33,0.09
15,4974665037571,笹身の燻製　　　　　　　　　　　　　　　　　　　,１８０ｇ　　　　　　,87549,1.39,231,379.00,114,767.97,38346,0,0,0,0,409,409,1.24,0.33
16,4901985108728,ショルダーベーコン切り落とし　　　　　　　　　　,２２０ｇ　　　　　　,86830,1.38,230,377.52,223,389.37,32550,0,0,0,0,410,410,1.23,0.33
17,4901985101279,ロースハムスライス　　　　　　　　　　　　　　　,１６０ｇ　　　　　　,82546,1.31,277,298.00,244,338.30,31301,0,0,0,0,322,322,1.17,0.39
18,4571292605861,生ハムロース１４０ｇ　　　　　　　　　　　　　　,１４０Ｇ　　　　　　,82386,1.31,207,398.00,182,452.67,27117,0,0,0,0,430,430,1.17,0.29
19,4964512000858,冷凍ＪＭ生餃子（１５粒２段）　　　　　　　　　　,３０粒　　　　　　　,77142,1.22,258,299.00,216,357.14,28896,0,0,0,0,323,323,1.10,0.37
20,4984352148671,肉のハナマサ　おろしにんにく　　　　　　　　　　,１ｋｇ　　　　　　　,76890,1.22,110,699.00,81,949.26,18810,0,0,0,0,755,755,1.09,0.16
21,4901985140490,炭火焼チャーシュー　　　　　　　　　　　　　　　,３４０ｇ　　　　　　,75384,1.20,73,1032.66,68,1108.59,24284,0,0,0,0,1166,1166,1.07,0.10
22,4901811177690,プロ仕様　あらびきロングウインナー　　　　　　　,４００ｇ　　　　　　,74582,1.18,84,887.88,61,1222.66,30482,0,0,0,0,961,961,1.06,0.12
23,4984352149272,プロ仕様　冷凍鶏唐揚げ（未加熱品）　　　　　　　,８００ｇ　　　　　　,73870,1.17,83,890.00,46,1605.87,27660,0,0,0,0,961,961,1.05,0.12
24,4984352148862,プロ仕様　冷凍若鶏唐揚げ　　　　　　　　　　　　,１ｋｇ　　　　　　　,64680,1.03,66,980.00,33,1960.00,25680,0,0,0,0,1058,1058,0.92,0.09
25,8421395402767,ＪＭハモンセラーノ２００ｇ　　　　　　　　　　　,２００ｇ　　　　　　,62720,0.99,64,980.00,25,2508.80,26752,0,0,0,0,1058,1058,0.89,0.09
26,4901985305127,プロ仕様　肉屋のポークフランク　　　　　　　　　,５００ｇ　　　　　　,61688,0.98,71,868.85,50,1233.76,22283,0,0,0,0,950,950,0.88,0.10
27,4901811177683,プロ仕様　あらびきロングバジルウインナー　　　　,４００ｇ　　　　　　,58651,0.93,67,875.39,61,961.49,23476,0,0,0,0,961,961,0.83,0.10
28,4984352149098,肉のハナマサ　ポークフランク（ブラックペッパー）,３００Ｇ　　　　　　,58006,0.92,97,598.00,78,743.67,22116,0,0,0,0,646,646,0.82,0.14
29,4582209701309,春巻きの皮　　　　　　　　　　　　　　　　　　　,１０マイ　　　　　　,56639,0.90,271,209.00,132,429.08,22222,0,0,0,0,226,226,0.81,0.39
30,4901985121352,肉のハナマサ　うす切りロースハムスライス　　　　,２００ｇ　　　　　　,56118,0.89,141,398.00,136,412.63,20868,0,0,0,0,430,430,0.80,0.20
31,0215005000000,冷凍ササミチーズカツ　　　　　　　　　　　　　　,定貫　　　　　　　　,55890,0.89,81,690.00,41,1363.17,55809,0,0,0,0,1177,1,0.79,0.12
32,4901985108339,つるしベーコン切り落とし　　　　　　　　　　　　,１０００Ｇ　　　　　,53625,0.85,36,1489.58,32,1675.78,13305,0,0,0,0,1782,1782,0.76,0.05
33,4901985349268,肉のハナマサ　あらびきウインナー（プレーン）　　,２３０ｇ　　　　　　,52854,0.84,133,397.40,130,406.57,20934,0,0,0,0,430,430,0.75,0.19
34,4970320126710,角切りベーコン　　　　　　　　　　　　　　　　　,２２５ｇ　　　　　　,52536,0.83,132,398.00,130,404.12,19008,0,0,0,0,430,421,0.75,0.19
35,8410843105152,フェテックイベリコ　　　　　　　　　　　　　　　,１５０ｇ　　　　　　,51940,0.82,53,980.00,49,1060.00,18020,0,0,0,0,1058,1058,0.74,0.08
36,4973590410459,肉のハナマサ　冷凍焼成ハンバーグ　　　　　　　　,１９０ｇ＊５　　　　,49770,0.79,63,790.00,22,2262.27,22050,0,0,0,0,853,853,0.71,0.09
37,4984352149067,プロ仕様　冷凍チキンナゲット　　　　　　　　　　,５００Ｇ　　　　　　,48158,0.76,121,398.00,73,659.70,19728,0,0,0,0,430,430,0.68,0.17
38,0214220000000,牛サイコロステーキ（解凍）　　　　　　　　　　　,不定貫　　　　　　　,47707,0.76,154,309.79,127,375.65,-42999,0,0,0,0,1058,1058,0.68,0.22
39,4901985349275,肉のハナマサ　あらびきウインナー（バジル）　　　,２３０ｇ　　　　　　,46566,0.74,117,398.00,112,415.77,16965,0,0,0,0,430,430,0.66,0.17
40,4902715797601,フィッシュソーセージ５本束　　　　　　　　　　　,６０ｇ＊５　　　　　,46250,0.73,185,250.00,179,258.38,14014,0,0,0,0,270,270,0.66,0.26
41,4984352149197,肉のハナマサ　冷凍厚切りロースカツ　　　　　　　,１４０ｇ＊５　　　　,44200,0.70,52,850.00,30,1473.33,15600,0,0,0,0,918,961,0.63,0.07
